Campaign Name,Ad Group Name,Keyword,Match Type,Bid,Destination URL,Search Volume,Keyword Difficulty
Tier 2 High Volume,General Mortgages,best mortgage deals in canada,Exact,3.02,https://yourmortgagesite.com,12100.0,60.0
Tier 2 High Volume,General Mortgages,best mortgage deals canada,Exact,3.02,https://yourmortgagesite.com,12100.0,44.0
